1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
242	1.094430	0.000000	5.618935	0.022206	20.0
243	1.068022	0.000000	5.618935	0.022595	22.1
244	1.131775	0.000000	5.618935	0.022428	23.9
245	1.107858	0.000000	5.618935	0.022962	25.3
246	1.054684	0.000000	5.618935	0.021443	21.2
247	1.045840	0.000000	5.618935	0.020886	23.4
248	1.091459	0.000000	5.618935	0.021376	22.0
249	1.114255	0.000000	5.618935	0.022148	20.5
250	1.051098	0.000000	5.618935	0.021702	22.5
251	1.058882	0.000000	5.618935	0.020841	22.5
252	1.047050	0.000000	5.618935	0.021551	18.3
253	1.052187	0.000000	5.618935	0.020519	22.6
254	1.110893	0.000000	5.618935	0.022885	21.6
255	1.048182	0.000000	5.618935	0.022042	21.0
256	1.091443	0.000000	5.618935	0.021322	22.4
257	1.072389	0.000000	5.618935	0.020989	23.3
258	1.079102	0.000000	5.618935	0.022755	22.0
259	1.077990	0.000000	5.618935	0.020896	20.9
260	1.023451	0.000000	5.618935	0.020316	20.8
261	1.037546	0.000000	5.618935	0.020053	22.2
262	1.037841	0.000000	5.618935	0.019784	21.7
263	1.029705	0.000000	5.618935	0.020754	25.6
264	1.055000	0.000000	5.618935	0.020161	23.8
265	1.047979	0.000000	5.618935	0.019757	23.8
266	1.048223	0.000000	5.618935	0.019783	21.1
267	1.021616	0.000000	5.618935	0.020188	22.6
268	1.030024	0.000000	5.618935	0.019395	22.4
269	1.030015	0.000000	5.618935	0.018767	22.1
270	1.064694	0.000000	5.618935	0.021198	21.0
271	1.052498	0.000000	5.618935	0.021902	24.7
272	1.054923	0.000000	5.618935	0.021098	24.9
273	0.986205	0.000000	5.618935	0.019832	25.6
274	1.031009	0.000000	5.618935	0.019200	25.5
275	1.026603	0.000000	5.618935	0.019519	21.7
276	1.048839	0.000000	5.618935	0.020657	26.2
277	1.033077	0.000000	5.618935	0.019757	26.2
278	0.971907	0.000000	5.618935	0.018161	25.8
279	0.968429	0.000000	5.618935	0.020310	27.3
280	0.979834	0.000000	5.618935	0.019105	22.2
281	1.002157	0.000000	5.618935	0.018597	21.5
282	1.010352	0.000000	5.618935	0.018140	22.2
283	0.993579	0.000000	5.618935	0.018185	22.0
284	1.013602	0.000000	5.618935	0.018396	18.4
285	1.028501	0.000000	5.618935	0.018079	21.9
286	0.948478	0.000000	5.618935	0.017625	18.6
287	1.014943	0.000000	5.618935	0.018638	21.7
288	0.985670	0.000000	5.618935	0.020541	20.7
289	0.962062	0.000000	5.618935	0.017103	22.1
290	1.005441	0.000000	5.618935	0.018930	20.7
291	1.026250	0.000000	5.618935	0.018107	20.2
292	1.021303	0.000000	5.618935	0.018339	18.3
293	0.973050	0.000000	5.618935	0.017389	20.6
294	0.992793	0.000000	5.618935	0.017549	20.7
295	0.948423	0.000000	5.618935	0.017697	21.9
296	0.974173	0.000000	5.618935	0.018382	21.0
297	0.960921	0.000000	5.618935	0.018959	21.7
298	1.005506	0.000000	5.618935	0.017690	21.3
299	0.996383	0.000000	5.618935	0.017836	21.9
300	0.981077	0.000000	5.618935	0.017076	23.1
301	0.983712	0.000000	5.618935	0.018103	21.3
302	0.954312	0.000000	5.618935	0.017661	20.2
303	0.997096	0.000000	5.618935	0.017916	20.3
304	0.975600	0.000000	5.618935	0.018289	22.9
305	0.980411	0.000000	5.618935	0.018063	22.7
306	0.949268	0.000000	5.618935	0.017738	20.7
307	0.932047	0.000000	5.618935	0.016696	26.0
308	0.977014	0.000000	5.618935	0.017449	41.2
309	0.938815	0.000000	5.618935	0.016716	26.5
310	0.965561	0.000000	5.618935	0.017185	20.5
311	0.986622	0.000000	5.618935	0.017303	35.2
312	0.932395	0.000000	5.618935	0.017387	28.7
313	0.981390	0.000000	5.618935	0.017251	31.4
314	0.921269	0.000000	5.618935	0.016729	27.9
315	0.929649	0.000000	5.618935	0.016914	22.8
316	0.915001	0.000000	5.618935	0.015765	25.6
317	0.937409	0.000000	5.618935	0.016222	23.7
318	0.960614	0.000000	5.618935	0.016566	24.2
319	0.988531	0.000000	5.618935	0.016239	25.4
320	0.964441	0.000000	5.618935	0.017464	23.0
321	0.971339	0.000000	5.618935	0.017638	22.4
322	0.914340	0.000000	5.618935	0.016783	22.7
323	0.961655	0.000000	5.618935	0.016462	20.9
324	0.933314	0.000000	5.618935	0.016974	21.7
325	0.915270	0.000000	5.618935	0.017648	19.6
326	0.919085	0.000000	5.618935	0.015365	21.2
327	0.915558	0.000000	5.618935	0.015561	22.5
328	0.950370	0.000000	5.618935	0.015923	22.4
329	0.934665	0.000000	5.618935	0.018062	22.1
330	0.934117	0.000000	5.618935	0.016100	20.3
331	0.938361	0.000000	5.618935	0.016457	25.3
332	0.945600	0.000000	5.618935	0.017046	22.3
333	0.958811	0.000000	5.618935	0.014934	21.3
334	0.896525	0.000000	5.618935	0.015378	19.1
335	0.915405	0.000000	5.618935	0.016924	30.8
