1:ItNr	2:Metric	2:Metric0	2:Metric1	2:Metric2	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient2||	4:||Gradient||	Time0[ms]	Time1[ms]	Time2[ms]	Time[ms]
235	-1.066572	-0.570723	-0.495858	0.000009	6.780416	605.193726	0.002101	0.002634	0.000000	0.002492	1.1	1.8	1.1	5.9
236	-1.044188	-0.576389	-0.467809	0.000009	7.354534	592.939852	0.001273	0.002209	0.000000	0.002468	1.0	2.0	1.4	7.6
237	-1.064116	-0.596618	-0.467508	0.000009	6.565236	609.917995	0.001369	0.002735	0.000000	0.003195	1.3	2.0	1.2	6.5
238	-1.043568	-0.571855	-0.471723	0.000010	5.844545	626.292350	0.001426	0.002451	0.000000	0.002887	1.2	2.0	1.2	6.4
239	-1.027928	-0.553420	-0.474518	0.000010	5.053620	645.305093	0.001966	0.006006	0.000000	0.005673	1.1	1.8	1.0	5.7
240	-1.116946	-0.595720	-0.521236	0.000009	4.259963	665.580287	0.000865	0.002723	0.000000	0.002929	1.3	2.0	1.3	8.2
241	-1.031943	-0.547065	-0.484888	0.000010	3.476020	686.898165	0.001948	0.002452	0.000000	0.003073	1.2	1.9	1.6	6.7
242	-1.091149	-0.606643	-0.484516	0.000010	2.739732	708.202329	0.001640	0.002461	0.000000	0.003445	1.2	1.8	1.2	6.0
243	-1.045187	-0.573672	-0.471525	0.000010	3.739726	679.576381	0.001537	0.002299	0.000000	0.002988	1.1	1.7	1.1	5.7
244	-1.041355	-0.570257	-0.471109	0.000010	2.952155	701.921520	0.001810	0.002431	0.000000	0.003351	1.1	1.7	1.0	7.6
245	-1.049189	-0.579652	-0.469546	0.000009	3.318854	691.337407	0.001415	0.002897	0.000000	0.003904	1.2	1.8	1.2	6.1
246	-1.059958	-0.582245	-0.477723	0.000010	2.525197	714.660694	0.002599	0.001907	0.000000	0.003478	1.1	1.8	1.2	8.0
247	-1.037715	-0.564657	-0.473067	0.000010	1.731539	739.612617	0.001267	0.002327	0.000000	0.003168	1.1	2.1	1.1	6.3
248	-1.058058	-0.577859	-0.480208	0.000010	0.947781	766.024294	0.001288	0.003131	0.000000	0.003310	1.1	1.8	1.2	8.3
249	-1.047102	-0.569503	-0.477609	0.000010	0.154143	794.763154	0.001143	0.002498	0.000000	0.003207	1.2	1.9	1.4	8.5
250	-1.050196	-0.584737	-0.465469	0.000010	0.000000	800.596828	0.001338	0.002695	0.000000	0.003368	1.2	1.9	1.2	8.6
251	-1.040803	-0.573553	-0.467261	0.000010	0.998026	764.274632	0.001395	0.002071	0.000000	0.002928	1.2	1.9	1.3	6.4
252	-1.051014	-0.580659	-0.470366	0.000010	1.997664	731.053975	0.001622	0.004114	0.000000	0.004931	1.1	1.8	1.2	6.3
253	-1.040476	-0.559298	-0.481189	0.000010	2.893930	703.631993	0.001627	0.003172	0.000000	0.004154	1.2	2.0	1.4	8.6
254	-1.027526	-0.550697	-0.476838	0.000010	3.893630	675.374929	0.001238	0.002142	0.000000	0.002843	1.2	2.0	1.3	6.4
